audit_id,source_xlsx_row,original_no,original_category,original_title,original_authors,original_year,original_venue,original_method_claim,original_metrics_claim,original_limitations_claim,original_relevance_claim,verified_title,verified_authors,verified_year,verified_venue,comparison_class,implementation_platform,evidence_layer,identity_status,metrics_status,latency_status,direct_source_url,doi_or_identifier,verification_scope,verification_date,corrected_method_summary,corrected_metrics_summary,corrected_limitations_summary,corrected_relevance_to_qflow,verification_status,exclusion_or_hold_reason,reviewer_notes
P011,14,11,QKD Routing Algorithms,DRL-based Progressive Recovery for Quantum-Key-Distribution Networks,"Li, M.; Zhang, Q.; Gatto, A.; Bregni, S.; Verticale, G.; Tornatore, M.",2024,"Journal of Optical Communications and Networking, 16(4), E36–E47",DRL for progressive QKD network recovery after failures; trains on simulated QKD network failures; considers key availability during recovery,Faster recovery than static methods; maintains >90% throughput during recovery; evaluated on NSFNET,Recovery scenario only; not for baseline routing; ms latency; no fidelity decay modeling,Extends DRL routing to fault-tolerance. QFlow's SKAG naturally handles link failures (edge weight → infinity).,DRL-based progressive recovery for quantum-key-distribution networks,Mengyao Li; Qiaolun Zhang; Alberto Gatto; Stefano Bregni; Giacomo Verticale; Massimo Tornatore,2024,"Journal of Optical Communications and Networking 16(9), E36-E47",C,DRL software; network simulation,Network-recovery simulation,Verified from Optica publisher source,Method verified; original >90% throughput claim not retained,Not reported,https://opg.optica.org/jocn/abstract.cfm?uri=jocn-16-9-E36,10.1364/JOCN.526014,Publisher abstract/official manuscript,2026-07-17,A DRL framework chooses staged repair actions for progressive recovery of QKD networks after failures.,Comparative recovery results are reported; the workbook's >90% throughput statement is held because it was not verified in this audit pass.,"Recovery-specific simulation, not baseline routing hardware; no decision-latency measurement.",Class C failure-recovery counterpart.,Verified,,
P012,15,12,QKD Routing Algorithms,"Routing, Channel, Key-Rate, and Time-Slot Assignment for QKD in Optical Networks","Zhang, Q.; Ayoub, O.; Gatto, A.; Wu, J.; Musumeci, F.; Tornatore, M.",2023,"IEEE Transactions on Network and Service Management, 21(1), 148–160","Joint RCKTA problem formulation as ILP; considers routing, wavelength channel, key-rate, and time-slot simultaneously",Near-optimal joint assignment; significant improvement over separate optimization; validated on COST239 topology,ILP: NP-hard; offline solver; cannot handle real-time key depletion; no fidelity-decay model,Multi-dimensional QKD resource allocation framework. QFlow's SKAG captures similar dimensions but in real-time hardware.,"Routing, Channel, Key-Rate, and Time-Slot Assignment for QKD in Optical Networks",Qiaolun Zhang; Omran Ayoub; Alberto Gatto; Jun Wu; Francesco Musumeci; Massimo Tornatore,2024,"IEEE Transactions on Network and Service Management 21(1), 148-160",C,MILP and heuristic algorithms; numerical simulation,Algorithmic/numerical evaluation,Verified from IEEE/institutional manuscript,Problem formulation and evaluation scope verified,Not reported,https://ieeexplore.ieee.org/document/10168191,10.1109/TNSM.2023.3290920,Publisher record and author manuscript,2026-07-17,"The RCKTA problem is formulated for combinations of optical bypass and trusted relay, with MILP and scalable solution methods.",The paper establishes NP-hardness and evaluates the proposed methods; no unsupported cross-paper numeric summary is retained.,Numerical network study; no FPGA routing datapath or measured decision latency.,Class C multi-resource QKD-routing counterpart.,Verified,,The final volume is 2024 although the DOI/early-access record is from 2023.
P013,17,13,SDN-QKD Networks,MadQCI: A Heterogeneous and Scalable SDN-QKD Network Deployed in Production Facilities,"Martin, V.; Brito, J.P.; Ortíz, L. et al. (EU Consortium)",2024,"npj Quantum Information, 10(1), Article 80, Nature","SDN-controlled multi-vendor QKD network (28 QKD modules, 9 nodes, 45 links); FPGA-based SoC for signal processing; ETSI QKD 015 standard","Supports 1,230 key requests/s; 0.15ms latency for 5G use case; 500 Mbps encrypted throughput for e-health; production-grade deployment","FPGA used only for physical-layer signal processing (DSP, error correction); routing decisions remain in SDN controller (software); no fidelity-decay aware routing",CRITICAL REFERENCE. Demonstrates real-world SDN-QKD viability. QFlow addresses exactly the SDN controller bottleneck: moves routing to hardware dataplane.,MadQCI: a heterogeneous and scalable SDN-QKD network deployed in production facilities,Vicente Martin et al.,2024,"npj Quantum Information 10, Article 80",D,Physical multi-vendor SDN-QKD testbed; mixed hardware/software,Physical network testbed,Verified from Nature full text,"Deployment scope verified; workbook's 1,230 requests/s and 0.15 ms claims held",No routing-controller latency verified in this pass,https://www.nature.com/articles/s41534-024-00873-2,10.1038/s41534-024-00873-2,Publisher full text,2026-07-17,"MadQCI demonstrates a heterogeneous, disaggregated SDN-QKD network in production facilities with commercial traffic.","The verified source supports a multi-vendor, multi-tenant physical deployment over nearly three years; the workbook's specific request/latency values are not retained without exact source mapping.",Component and control functions span multiple layers; it is not a same-function FPGA routing baseline for QFlow.,Class D deployed-system context only; do not claim it proves an SDN routing bottleneck or millisecond routing latency.,Verified,,
P014,18,14,SDN-QKD Networks,The Evolution of Quantum Key Distribution Networks: On the Road to the Qinternet,"Cao, Y.; Zhao, Y.; Wang, Q.; Zhang, J.; Ng, S.X.; Hanzo, L.",2022,"IEEE Communications Surveys & Tutorials, 24(2), 839–894","Comprehensive survey of QKD network evolution: key management, routing protocols, SDN integration, trusted-node architectures, future quantum internet",Identifies key management as central challenge; SDN as dominant paradigm; routing latency bottleneck at SDN controller,Survey only; identifies hardware acceleration gap but provides no solution; ms-latency SDN assumed throughout,Foundational reference for QKD network architecture. Confirms SDN controller latency bottleneck that QFlow solves.,The Evolution of Quantum Key Distribution Networks: On the Road to the Qinternet,Yuan Cao; Yongli Zhao; Qin Wang; Jie Zhang; Soon Xin Ng; Lajos Hanzo,2022,"IEEE Communications Surveys & Tutorials 24(2), 839-894",C,Survey/review,Survey synthesis,Verified from IEEE/institutional manuscript,Bibliographic identity and survey scope verified,Not reported as a universal SDN-routing measurement,https://ieeexplore.ieee.org/document/9684555,10.1109/COMST.2022.3144219,Publisher record and institutional manuscript,2026-07-17,"Comprehensive survey of QKD-network architecture, protocols, management, routing and evolution.",Used as background synthesis; no single universal routing-latency number is retained.,"Survey, not a hardware implementation or direct performance baseline.",Class C architecture/background source.,Verified,,
P015,19,15,SDN-QKD Networks,"Implementation of Carrier-Grade Quantum Communication Networks over 10,000 km",Chinese Quantum Network Consortium,2025,"npj Quantum Information, Nature","China Quantum Communication Network (CN-QCN): 145 fiber backbone nodes, 20 metro networks, 17 provinces; hybrid SDN + trusted relay architecture","World's largest QKD network; 10,000km span; production operation; integrates satellite (Micius) and fiber links",Entire routing infrastructure is software-based SDN; key pool management at software layer; no hardware routing acceleration,Demonstrates scale of QKD deployment where hardware routing acceleration would have transformative impact.,Implementation of carrier-grade quantum communication networks over 10000 km,Hao-Ze Chen; Ming-Han Li; Yu Zhou Wang; Zhen-Geng Zhao; Cheng Ye; Fei Long Li; Zhu Chen; Sheng-Long Han; Bao Tang; Ya Jun Miao; et al.,2025,"npj Quantum Information 11, Article 137",C,Physical carrier-grade QKD network,Physical network deployment,Verified from Nature full text,Deployment scale verified,No routing-decision latency verified,https://www.nature.com/articles/s41534-025-01089-8,10.1038/s41534-025-01089-8,Publisher full text,2026-07-17,The paper reports the operational CN-QCN trusted-relay network.,"Verified deployment scale: over 10,000 km, 145 fiber-backbone nodes, 20 metropolitan networks, 17 provinces and 80 cities.",Deployment context does not establish that the entire routing infrastructure is software-based or provide a QFlow-equivalent hardware baseline.,Class C real-world deployment motivation; no raw timing comparison.,Verified,,
P016,20,16,SDN-QKD Networks,A Zero-Trust Spatiotemporal Diversification Framework for Multipath QKD,Multiple authors,2025,"Big Data and Cognitive Computing (MDPI), 9(4), 76",Dynamic route shuffling for zero-trust security; multipath multi-key distribution; improved Yen's algorithm + greedy selection,Enhanced security against compromised relay attacks; feasibility of zero-trust operation; simulation on 8-node network,Software routing; no fidelity awareness; zero-trust model adds latency overhead; SDN controller dependent,Security-focused QKD routing. QFlow adds hardware speed to comparable security-aware routing decisions.,A Quantum Key Distribution Routing Scheme for a Zero-Trust QKD Network System: A Moving Target Defense Approach,Esraa M. Ghourab; Mohamed Azab; Denis Gračanin,2025,"Big Data and Cognitive Computing 9(4), Article 76",C,Software framework; network simulation,Network simulation,Verified from publisher full text,Reported security/success improvements verified from abstract,Not reported for routing-decision runtime,https://www.mdpi.com/2504-2289/9/4/76,10.3390/bdcc9040076,Publisher full text,2026-07-17,A moving-target-defense framework dynamically shuffles routes for multipath/multi-key distribution under a zero-trust relay model.,The abstract reports an 86.04% improvement in defense against interception and nearly doubled key-distribution success versus traditional methods.,Simulation/framework evaluation; no FPGA routing hardware or measured decision runtime.,Class C security-focused QKD-routing counterpart.,Verified,,Original workbook used a generic 'multiple authors' entry and incomplete title.
P017,22,17,FPGA Acceleration for Quantum,Efficient FPGA Implementation of Polar Codes-Based Information Reconciliation for QKD,"Liao, L.; Wu, X.; Chen, Y. et al. (Sun Yat-sen Univ.)",2025,"Scientific Reports, 15, 36253, Nature",Parallel successive-cancellation decoder for polar codes on cost-effective FPGA; pipeline architecture; hardware accelerator for DV-QKD post-processing,Achieves 35 Mbps throughput at 200 MHz; 10–20× improvement over CPU; <1W power consumption; resource utilization <40% on Artix-7,Physical layer only (error correction); no routing capability; no fidelity tracking; cannot make path selection decisions,MOST CITED FPGA-QKD paper. Directly cited in QFlow plan. Shows FPGA for QKD physical layer is mature — QFlow fills the routing layer gap.,Efficient FPGA implementation of polar codes-based information reconciliation for quantum key distribution,Lianye Liao; Xinyi Wu; Ye Chen; Xiaodong Fan; Zhiyu Tian; Jinquan Huang; Tonglin Mu; Junran Guo; Minjie Liu; Bo Liu; Shihai Sun,2025,"Scientific Reports 15, Article 36253",D,Xilinx Kintex UltraScale AXKU040 FPGA,Measured FPGA component,Verified from publisher full text,35.33 Mbps result and device verified,Routing-decision latency not applicable,https://www.nature.com/articles/s41598-025-20146-y,10.1038/s41598-025-20146-y,Publisher full text,2026-07-17,"A pipelined, fully unfolded SCL/CRC hardware accelerator performs polar-code information reconciliation for DV-QKD.",The FPGA implementation reports 35.33 Mbps information-reconciliation throughput for block length 2^20.,"This is post-processing, not route selection. The workbook's Artix-7, 200 MHz, 10-20x CPU, below-1-W and below-40% resource claims are not supported by the verified source.",Class D FPGA-QKD component context only; not a same-function routing baseline.,Verified with claim restriction,"Unsupported device, clock, power, resource and speedup statements removed.",
P018,23,18,FPGA Acceleration for Quantum,FPGA-Based Implementation of Multidimensional Reconciliation Encoding in QKD,"Lu, Q.; Lu, Z.; Yang, H.; Yang, S.; Li, Y.",2023,"Entropy (MDPI), 25(1), 80",Circulatory pipeline structure for 8D reconciliation encoding on Xilinx Virtex-7; structural multiplexing; simplified parity-check matrix algorithm,Variable throughput from 0.5–4 Gbps depending on FPGA frequency; 40% lower latency than prior implementations,CV-QKD physical layer only; encoding only; no routing; no key management; specific to Gaussian modulation,FPGA implementation for QKD physical layer. Demonstrates FPGA feasibility for QKD. QFlow targets the higher-layer routing problem.,FPGA-Based Implementation of Multidimensional Reconciliation Encoding in Quantum Key Distribution,Qing Lu; Zhenguo Lu; Hongzhao Yang; Shen-Shen Yang; Yongmin Li,2023,"Entropy 25(1), Article 80",D,Xilinx Virtex-7 FPGA,FPGA implementation and simulation results,Verified from publisher full text,Maximum throughput verified,Routing-decision latency not applicable,https://www.mdpi.com/1099-4300/25/1/80,10.3390/e25010080,Publisher full text,2026-07-17,"A variable-throughput, circulatory FPGA architecture accelerates eight-dimensional reconciliation encoding for CV-QKD.",The verified maximum throughput is 4.88 M symbols/s on a Virtex-7 FPGA; the CPU comparison reports 0.063 M symbols/s.,Encoding/post-processing only; no network routing. The workbook's 0.5-4 Gbps and 40% latency-reduction claims are not retained.,"Class D component context for FPGA feasibility, not QFlow routing superiority.",Verified with claim restriction,Original throughput units and latency comparison were unsupported.,
P019,24,19,FPGA Acceleration for Quantum,Scalable QKD Postprocessing System with Reconfigurable Hardware Accelerator,"Venkatachalam, N.; Shingala, F.P. et al.",2023,"IEEE Transactions on Quantum Engineering, 4, 1–14","Reconfigurable FPGA accelerator for QKD post-processing pipeline: sifting, error correction, privacy amplification; AXI-based configuration","Scalable to multiple QKD device rates; 3.5× speedup over CPU; supports BB84, E91 protocols",Post-processing acceleration only; no routing or network-layer decisions; no path selection; no fidelity tracking,IEEE TQE paper. Establishes AXI-based FPGA architecture for QKD (similar to QFlow's AXI-Lite config). Gap: no routing.,Scalable QKD Postprocessing System With Reconfigurable Hardware Accelerator,Natarajan Venkatachalam; Foram P. Shingala; Selvagangai C.; Hema Priya S.; Dillibabu S.; Pooja Chandravanshi; Ravindra P. Singh,2023,"IEEE Transactions on Quantum Engineering 4, Article 4100914",D,FPGA key-distillation accelerator,Measured FPGA component,Verified from IEEE paper,Architecture scope verified; 3.5x claim not retained,Routing-decision latency not applicable,https://ieeexplore.ieee.org/document/10288091,10.1109/TQE.2023.3326093,IEEE publisher paper,2026-07-17,"A MapReduce-inspired FPGA key-distillation architecture supports dynamic error correction, authentication and encryption for multiple DV-QKD protocols.",The paper reports experimental scalability and speedup results; the workbook's generic 3.5x CPU value is held because its exact boundary was not verified in this pass.,QKD post-processing only; it does not select network paths or track routing fidelity.,Class D FPGA-QKD component and architectural context.,Verified with claim restriction,Exact 3.5x claim requires table-level mapping before reuse.,
P020,25,20,FPGA Acceleration for Quantum,The Hitchhiker's Guide to FPGA-Accelerated Quantum Error Correction,"Vitali, M. et al.",2023,IEEE International Conference on Quantum Software (QSW),"Survey and KPI analysis for FPGA-based QEC decoders; identifies mandatory requirements: real-time throughput, latency, power, scalability",Real-time FPGA QEC feasible at sub-microsecond latency; pipeline and parallel architectures dominate; KPIs: <1μs decoding latency requirement,QEC focus only; no QKD routing; survey not implementation; does not address network-layer decisions,Establishes FPGA as the correct platform for quantum-adjacent real-time processing — motivates QFlow's FPGA platform choice.,The Hitchhiker's Guide to FPGA-Accelerated Quantum Error Correction,Beatrice Branchini; Davide Conficconi; Donatella Sciuto; Marco D. Santambrogio,2023,"2023 IEEE International Conference on Quantum Computing and Engineering (QCE), 338-339",D,Survey of FPGA QEC decoders,Survey/KPI synthesis,Verified from IEEE publisher record,Bibliographic identity and survey scope verified,No QFlow-equivalent routing latency,https://ieeexplore.ieee.org/document/10313923,IEEE document 10313923,IEEE publisher record,2026-07-17,The paper surveys requirements and KPIs for FPGA-accelerated quantum-error-correction decoders.,No measured QKD routing result is retained. Sub-microsecond QEC requirements are not routing-decision measurements.,QEC and survey scope only; no QKD routing or same-workload comparison.,Class D quantum-adjacent FPGA context only.,Verified with claim restriction,The workbook presented a QEC requirement as a general measured FPGA result.,
P021,26,21,FPGA Acceleration for Quantum,FPT-EMS: FPGA Implementation Using NB-LDPC Code for CV-QKD,Multiple authors,2025,HEART 2025 (ACM),HLS-based T-EMS decoder for NB-LDPC codes targeting CV-QKD reconciliation; six pipelined submodules; designed with HLS pragmas,High reconciliation efficiency at low SNR; resource-efficient on Zynq FPGA; competitive throughput vs. GPU implementations,Decoder-only; no network layer; no routing; HLS constraints limit fine-grained optimization,2025 FPGA-QKD physical layer work. Pattern of FPGA for QKD lower layers is clear; QFlow breaks into network layer.,FPT-EMS: An FPGA Implementation Using NB-LDPC Code for Continuous-Variable Quantum Key Distribution,Kaijie Wei; Devanshu Garg; Ryutaro Nagai; Takao Tomono; Hideharu Amano,2025,"HEART 2025, 117-125",D,AMD RFSoC 4x2; HLS FPGA decoder,Synthesized/measured FPGA component,Verified from ACM record,"Identity, target and method verified; numeric speed claims held",Routing-decision latency not applicable,https://dl.acm.org/doi/10.1145/3728179.3728183,10.1145/3728179.3728183,ACM publisher record/paper,2026-07-17,An HLS implementation of the trellis-based extended min-sum NB-LDPC decoder targets CV-QKD on an RFSoC 4x2 platform.,The publisher source supports the FPGA/HLS decoder scope; no cross-platform throughput number is retained in this audit pass.,"Reconciliation decoder only; not routing, key management or fidelity-aware path selection.",Class D recent FPGA-QKD post-processing context.,Verified with claim restriction,"Unmapped efficiency, throughput and GPU-comparison statements removed.",
P022,27,22,FPGA Acceleration for Quantum,FPGA-Based Synchronization of Frequency Domain Interferometer for QKD,"Chandra, N.; Krishnamurthy, P.K.",2024,IEEE Transactions on Quantum Engineering,FPGA real-time synchronization of quantum interferometer; sub-nanosecond timing precision; Zynq SoC implementation,Sub-ns sync precision; stable quantum fringe visibility; enables high-rate QKD at > 1 Gbps clock,Physical-layer synchronization only; no routing; no key management; not applicable to network-level decisions,Confirms FPGA sub-nanosecond precision for quantum applications — same principle exploited by QFlow for routing decisions.,FPGA-Based Synchronization of Frequency-Domain Interferometer for QKD,Nishanth Chandra; Pradeep Kumar Krishnamurthy,2025,"IEEE Transactions on Quantum Engineering 6, Article 4100111, 1-10",D,FPGA-based QKD synchronization experiment,Measured physical-layer FPGA component,Verified from IEEE record,Identity and experimental synchronization scope verified,Routing-decision latency not applicable,https://ieeexplore.ieee.org/document/10769019,IEEE document 10769019,IEEE publisher record,2026-07-17,The work experimentally demonstrates FPGA-based synchronization for a frequency-domain interferometer used in QKD.,The audit retains the experimental synchronization scope but not the workbook's sub-nanosecond precision or greater-than-1-Gbps clock claims.,Physical-layer synchronization only; no routing or key-management decision datapath.,Class D physical-layer component context.,Verified with claim restriction,Specific precision and clock-rate claims require exact full-text mapping.,The IEEE record appeared online in 2024; final volume 6 is cited as 2025.
P023,29,23,Hardware Genetic Algorithms,A Fully Customizable Hardware Implementation for General Purpose Genetic Algorithms,"Sahin, I.; et al.",2017,"Applied Soft Computing, 62, 152–163, Elsevier","Fully customizable GA IP core for FPGA (VHDL); pipelined + parallel architecture; modular operators (selection, crossover, mutation) as swappable blocks",~95% reduction in clock cycles per generation vs. previous implementations; finds global optimum on TSP and benchmark functions; 12% LUT utilization,Single-objective GA; general purpose (not quantum-domain-specific); no Pareto front; no domain-specific fitness (no fidelity or key metrics),"CITED IN QFLOW PLAN. The general-purpose GA IP core that QFlow extends with quantum-specific fitness functions, multi-objective Pareto comparators, and SKAG coupling.",A fully customizable hardware implementation for general purpose genetic algorithms,Murat Peker,2018,"Applied Soft Computing 62, 1066-1076",D,VHDL GA IP core on FPGA,FPGA implementation evaluation,Verified from publisher page,Identity and architecture verified; workbook metrics held,Not a routing-decision measurement,https://www.sciencedirect.com/science/article/pii/S1568494617305835,10.1016/j.asoc.2017.09.044,Publisher page/abstract,2026-07-17,A customizable and scalable VHDL GA IP core uses modular pipelined and parallel operators on FPGA.,"The publisher supports reduced generation cycles and increased convergence speed; the workbook's 95%, TSP/global-optimum and 12% LUT bundle is not retained without exact table mapping.","General-purpose, primarily single-objective GA; not quantum routing and not a same-device QFlow baseline.",Class D hardware-GA architectural precedent.,Verified with claim restriction,"Original author, year, pages and quantitative bundle were incorrect or unmapped.",
P024,30,24,Hardware Genetic Algorithms,Customizable FPGA IP Core Implementation of a General-Purpose Genetic Algorithm Engine,"Fernando, P.; Katkoori, S.",2010,"IEEE Transactions on Evolutionary Computation, 14(1), 133–149",GA IP core on Xilinx Virtex-II Pro; parameterizable population/generations/rates; multiple fitness functions supported; BRAM-based chromosome storage,13% LUT utilization; 50 MHz clock; configurable via register interface; verified on standard benchmarks,Single-objective only; old FPGA technology; no domain-specific operators; no Pareto dominance; 50 MHz limits throughput,Foundational FPGA-GA IP core paper. QFlow's PMO-GA generalizes this to multi-objective with quantum-domain fitness at 200 MHz.,Customizable FPGA IP Core Implementation of a General-Purpose Genetic Algorithm Engine,Pradeep R. Fernando; Srinivas Katkoori; Didier Keymeulen; Ricardo Zebulum; Adrian Stoica,2010,"IEEE Transactions on Evolutionary Computation 14(1), 133-149",D,Xilinx Virtex-II Pro FPGA GA IP core,FPGA implementation evaluation,Verified from IEEE journal record,"Identity, configurability and 13% area verified",Not a routing-decision measurement,https://ieeexplore.ieee.org/document/5299091,10.1109/TEVC.2009.2025032,IEEE publisher paper,2026-07-17,"A register-configurable general-purpose GA IP core supports programmable population, generations, rates, seed and fitness function.",The placed-and-routed Virtex-II Pro core reports about 13% area utilization; other workbook clock/interface claims are not retained here.,Older single-objective general-purpose engine; no Pareto QKD routing workload.,Class D foundational GA-IP precedent.,Verified with claim restriction,Incomplete authorship and unmapped frequency claim corrected.,
P025,31,25,Hardware Genetic Algorithms,Automated Framework for General-Purpose Genetic Algorithms in FPGAs,"Guo, L.; Thomas, D.B.; Luk, W.",2014,"EvoApplications 2014, LNCS 8602, Springer",HLS-based automated GA framework; user provides problem specification; generates parameterized FPGA implementation; demonstrated on NP-hard set covering,30× speedup vs. multi-core CPU; flexible and reusable; demonstrated on 6 benchmark problems including locating and set covering,No multi-objective support; HLS abstraction limits cycle-accurate optimization; no domain-specific quantum operators,Automated FPGA-GA framework. QFlow hand-designs PMO-GA for maximum performance and quantum-domain specificity.,Automated Framework for General-Purpose Genetic Algorithms in FPGAs,Liucheng Guo; David B. Thomas; Wayne Luk,2014,"Applications of Evolutionary Computation, LNCS 8602, 714-725",D,Automated FPGA GA framework,Framework and FPGA evaluation,Verified from Springer publisher page,Identity and framework scope verified,Not a routing-decision measurement,https://link.springer.com/chapter/10.1007/978-3-662-45523-4_58,10.1007/978-3-662-45523-4_58,Publisher metadata/abstract,2026-07-17,An automated framework generates and executes customizable general-purpose genetic algorithms on FPGAs.,The framework scope is verified; the workbook's 30x speedup and six-benchmark statement are not retained without full result mapping.,General-purpose framework; no quantum-specific objectives or same-workload QFlow comparison.,Class D FPGA-GA tooling precedent.,Verified with claim restriction,Unmapped speedup and benchmark-count claims removed.,
P026,32,26,Hardware Genetic Algorithms,RapidLayout: Fast Hard Block Placement Using NSGA-II on Xilinx UltraScale+ FPGAs,"Waidyasooriya, H.M. et al.",2022,ACM Transactions on Reconfigurable Technology and Systems (TRETS),NSGA-II multi-objective evolutionary algorithm for FPGA placement; dual objectives: wirelength² + bounding box; transfer learning between FPGA families,5–6× faster than Vivado with manual constraints; eliminates weeks of manual placement; Pareto-optimal placements at high frequency,"EDA application (placement), not communication routing; runs on CPU not on FPGA itself; different optimization domain",Modern multi-objective NSGA-II with Pareto dominance. QFlow applies similar Pareto mechanisms to quantum routing in hardware.,RapidLayout: Fast Hard Block Placement of FPGA-Optimized Systolic Arrays Using Evolutionary Algorithms,Niansong Zhang; Xiang Chen; Nachiket Kapre,2022,ACM Transactions on Reconfigurable Technology and Systems,D,Host-side RapidWright evolutionary placement tool,EDA tool evaluation,Verified from ACM paper and official preprint,Reported placement comparisons verified,Not applicable to network routing latency,https://dl.acm.org/doi/10.1145/3501803,10.1145/3501803,ACM publisher paper/official preprint,2026-07-17,RapidLayout is a host-side evolutionary hard-block placement and routing flow built on Xilinx RapidWright for UltraScale+ systolic accelerators.,The paper reports 5-6x lower placement runtime than Vivado with manual constraints and additional comparisons with VPR and UTPlaceF.,"The evolutionary optimizer runs as an EDA tool, not as an FPGA-resident GA, and its placement objectives differ from QKD routing.",Class D multi-objective evolutionary-method context only.,Verified,,"The workbook title, authors and statement that NSGA-II runs on the FPGA were corrected."
P027,33,27,Hardware Genetic Algorithms,"A High-Performance, Pipelined, FPGA-Based Genetic Algorithm Machine","Shackleford, B.; Snider, G.; Carter, R.",2001,"Genetic Programming and Evolvable Machines, Springer","Multi-FPGA pipelined GA; one child per clock cycle by pipelining selection, crossover, mutation, fitness; steady-state memory model",1 child/clock cycle throughput; solves 94×520 set covering problem; throughput limited only by fitness evaluation depth,Multi-FPGA system required; single-objective; old technology; no BRAM-based memory hierarchy,Seminal paper on pipelined FPGA-GA. QFlow's 5-stage PMO-GA pipeline is inspired by this one-child-per-cycle approach.,"A High-Performance, Pipelined, FPGA-Based Genetic Algorithm Machine",Barry Shackleford; Greg Snider; Richard J. Carter; Etsuko Okushi; Mitsuhiro Yasuda; Katsuhiko Seo; Hiroto Yasuura,2001,"Genetic Programming and Evolvable Machines 2(1), 33-60",D,Multi-FPGA and single-FPGA GA prototypes,Measured FPGA implementations,Verified from Springer full text,Prototype speedups and clock rates verified,Not a QKD routing-decision measurement,https://link.springer.com/article/10.1023/A:1010018632078,10.1023/A:1010018632078,Publisher full text,2026-07-17,Pipelined steady-state GA hardware couples problem-specific pipelined fitness circuits with FPGA-resident evolutionary operators.,Reported prototypes include a 1 MHz multi-FPGA set-covering design at 2200x its stated workstation baseline and a 66 MHz single-FPGA protein-folding design at 320x its stated Pentium-II baseline.,"Old devices, problem-specific fitness circuits and historical workstation baselines prevent direct comparison with QFlow.",Class D seminal pipelined hardware-GA precedent.,Verified,,
P028,34,28,Hardware Genetic Algorithms,Hardware Implementation of Genetic Algorithm on FPGA,"Peng, F.; Peng, P.",2004,IEEE Midwest Symposium on Circuits and Systems (MWSCAS),"Parallel-pipelined hardware GA (PPHGA) in VHDL; handshaking protocol between modules; verified on 3 applications (interpolation, thermistor, vehicle)",Autonomous parallel operation; correctness verified on engineering applications; modular VHDL design,Early implementation; limited parameterization; no multi-objective; resource usage not optimized,Historical FPGA-GA implementation. Demonstrates modular VHDL decomposition approach adopted by QFlow's module separation.,Hardware Implementation of Genetic Algorithms Using FPGA,Wallace K. S. Tang; Leslie Yip,2004,"47th IEEE Midwest Symposium on Circuits and Systems, Vol. 1, I-549-I-552",D,PCI FPGA GA processor,FPGA architecture/implementation,Verified from institutional and IEEE-linked record,Identity and architecture scope verified,Not a QKD routing-decision measurement,https://scholars.cityu.edu.hk/en/publications/hardware-implementation-of-genetic-algorithms-using-fpga/,10.1109/MWSCAS.2004.1354049,Institutional record and IEEE-linked paper,2026-07-17,A PCI-board FPGA GA processor exposes parallel and pipelined configurations for optimization workloads.,The architecture and implementation are verified; no normalized speedup is retained in this audit pass.,Historical general-purpose GA implementation; no multi-objective quantum routing workload.,Class D historical FPGA-GA context.,Verified,,The workbook's Peng authorship and singular title were incorrect.
P029,36,29,Fidelity-Aware Routing,RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks,"Meuser, T. et al. (TU Darmstadt group)",2025,arXiv 2511.22321 / IEEE (accepted),RL-based entanglement routing using GNN with local information only; iterative message exchange between repeaters; trained on random graphs,Outperforms global-information heuristics; constant per-node load regardless of network size; scales to 1000 repeaters,Software RL agent; inference latency in ms; no hardware implementation; fidelity modeled but tracking not in hardware,"CITED IN QFLOW PLAN. State-of-the-art software routing. QFlow provides hardware equivalent — same fidelity awareness, 1000× faster decisions.",RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks,Tobias Meuser; Jannis Weil; Aninda Lahiri; Marius Paraschiv,2026,"IEEE Transactions on Communications 74, 1860-1875",C,RL/GNN software; quantum-network simulation,Network simulation,Verified from IEEE and official arXiv records,Qualitative comparison scope verified,Inference runtime not reported as a hardware-comparable metric,https://ieeexplore.ieee.org/document/11275902,10.1109/TCOMM.2025.3640083,IEEE record and official preprint,2026-07-17,"RELiQ uses local information, iterative message exchange and a graph neural network trained on random graphs for entanglement routing.",The authors report performance competitive with local and global-information heuristics across random and real-world topologies; no 1000-node or timing claim is retained here.,"Software/simulation method for entanglement networks, not QKD key-pool FPGA routing.","Class C algorithmic counterpart; compare only under matched topology, demand and quantum-link models.",Verified with claim restriction,"Millisecond inference, 1000-repeater and 1000x-QFlow statements were not verified and are removed.",
