audit_id,source_xlsx_row,original_no,original_category,original_title,original_authors,original_year,original_venue,original_method_claim,original_metrics_claim,original_limitations_claim,original_relevance_claim,comparison_class,implementation_platform,evidence_layer,identity_status,metrics_status,latency_status,direct_source_url,doi_or_identifier,verification_scope,verification_date,corrected_method_summary,corrected_metrics_summary,corrected_limitations_summary,corrected_relevance_to_qflow,verification_status,exclusion_or_hold_reason,reviewer_notes
P015,19,15,SDN-QKD Networks,"Implementation of Carrier-Grade Quantum Communication Networks over 10,000 km",Chinese Quantum Network Consortium,2025,"npj Quantum Information, Nature","China Quantum Communication Network (CN-QCN): 145 fiber backbone nodes, 20 metro networks, 17 provinces; hybrid SDN + trusted relay architecture","World's largest QKD network; 10,000km span; production operation; integrates satellite (Micius) and fiber links",Entire routing infrastructure is software-based SDN; key pool management at software layer; no hardware routing acceleration,Demonstrates scale of QKD deployment where hardware routing acceleration would have transformative impact.,,,,,,,,,,,,,Pending,,
P016,20,16,SDN-QKD Networks,A Zero-Trust Spatiotemporal Diversification Framework for Multipath QKD,Multiple authors,2025,"Big Data and Cognitive Computing (MDPI), 9(4), 76",Dynamic route shuffling for zero-trust security; multipath multi-key distribution; improved Yen's algorithm + greedy selection,Enhanced security against compromised relay attacks; feasibility of zero-trust operation; simulation on 8-node network,Software routing; no fidelity awareness; zero-trust model adds latency overhead; SDN controller dependent,Security-focused QKD routing. QFlow adds hardware speed to comparable security-aware routing decisions.,,,,,,,,,,,,,Pending,,
P017,22,17,FPGA Acceleration for Quantum,Efficient FPGA Implementation of Polar Codes-Based Information Reconciliation for QKD,"Liao, L.; Wu, X.; Chen, Y. et al. (Sun Yat-sen Univ.)",2025,"Scientific Reports, 15, 36253, Nature",Parallel successive-cancellation decoder for polar codes on cost-effective FPGA; pipeline architecture; hardware accelerator for DV-QKD post-processing,Achieves 35 Mbps throughput at 200 MHz; 10–20× improvement over CPU; <1W power consumption; resource utilization <40% on Artix-7,Physical layer only (error correction); no routing capability; no fidelity tracking; cannot make path selection decisions,MOST CITED FPGA-QKD paper. Directly cited in QFlow plan. Shows FPGA for QKD physical layer is mature — QFlow fills the routing layer gap.,,,,,,,,,,,,,Pending,,
P018,23,18,FPGA Acceleration for Quantum,FPGA-Based Implementation of Multidimensional Reconciliation Encoding in QKD,"Lu, Q.; Lu, Z.; Yang, H.; Yang, S.; Li, Y.",2023,"Entropy (MDPI), 25(1), 80",Circulatory pipeline structure for 8D reconciliation encoding on Xilinx Virtex-7; structural multiplexing; simplified parity-check matrix algorithm,Variable throughput from 0.5–4 Gbps depending on FPGA frequency; 40% lower latency than prior implementations,CV-QKD physical layer only; encoding only; no routing; no key management; specific to Gaussian modulation,FPGA implementation for QKD physical layer. Demonstrates FPGA feasibility for QKD. QFlow targets the higher-layer routing problem.,,,,,,,,,,,,,Pending,,
P019,24,19,FPGA Acceleration for Quantum,Scalable QKD Postprocessing System with Reconfigurable Hardware Accelerator,"Venkatachalam, N.; Shingala, F.P. et al.",2023,"IEEE Transactions on Quantum Engineering, 4, 1–14","Reconfigurable FPGA accelerator for QKD post-processing pipeline: sifting, error correction, privacy amplification; AXI-based configuration","Scalable to multiple QKD device rates; 3.5× speedup over CPU; supports BB84, E91 protocols",Post-processing acceleration only; no routing or network-layer decisions; no path selection; no fidelity tracking,IEEE TQE paper. Establishes AXI-based FPGA architecture for QKD (similar to QFlow's AXI-Lite config). Gap: no routing.,,,,,,,,,,,,,Pending,,
P020,25,20,FPGA Acceleration for Quantum,The Hitchhiker's Guide to FPGA-Accelerated Quantum Error Correction,"Vitali, M. et al.",2023,IEEE International Conference on Quantum Software (QSW),"Survey and KPI analysis for FPGA-based QEC decoders; identifies mandatory requirements: real-time throughput, latency, power, scalability",Real-time FPGA QEC feasible at sub-microsecond latency; pipeline and parallel architectures dominate; KPIs: <1μs decoding latency requirement,QEC focus only; no QKD routing; survey not implementation; does not address network-layer decisions,Establishes FPGA as the correct platform for quantum-adjacent real-time processing — motivates QFlow's FPGA platform choice.,,,,,,,,,,,,,Pending,,
P021,26,21,FPGA Acceleration for Quantum,FPT-EMS: FPGA Implementation Using NB-LDPC Code for CV-QKD,Multiple authors,2025,HEART 2025 (ACM),HLS-based T-EMS decoder for NB-LDPC codes targeting CV-QKD reconciliation; six pipelined submodules; designed with HLS pragmas,High reconciliation efficiency at low SNR; resource-efficient on Zynq FPGA; competitive throughput vs. GPU implementations,Decoder-only; no network layer; no routing; HLS constraints limit fine-grained optimization,2025 FPGA-QKD physical layer work. Pattern of FPGA for QKD lower layers is clear; QFlow breaks into network layer.,,,,,,,,,,,,,Pending,,
P022,27,22,FPGA Acceleration for Quantum,FPGA-Based Synchronization of Frequency Domain Interferometer for QKD,"Chandra, N.; Krishnamurthy, P.K.",2024,IEEE Transactions on Quantum Engineering,FPGA real-time synchronization of quantum interferometer; sub-nanosecond timing precision; Zynq SoC implementation,Sub-ns sync precision; stable quantum fringe visibility; enables high-rate QKD at > 1 Gbps clock,Physical-layer synchronization only; no routing; no key management; not applicable to network-level decisions,Confirms FPGA sub-nanosecond precision for quantum applications — same principle exploited by QFlow for routing decisions.,,,,,,,,,,,,,Pending,,
P023,29,23,Hardware Genetic Algorithms,A Fully Customizable Hardware Implementation for General Purpose Genetic Algorithms,"Sahin, I.; et al.",2017,"Applied Soft Computing, 62, 152–163, Elsevier","Fully customizable GA IP core for FPGA (VHDL); pipelined + parallel architecture; modular operators (selection, crossover, mutation) as swappable blocks",~95% reduction in clock cycles per generation vs. previous implementations; finds global optimum on TSP and benchmark functions; 12% LUT utilization,Single-objective GA; general purpose (not quantum-domain-specific); no Pareto front; no domain-specific fitness (no fidelity or key metrics),"CITED IN QFLOW PLAN. The general-purpose GA IP core that QFlow extends with quantum-specific fitness functions, multi-objective Pareto comparators, and SKAG coupling.",,,,,,,,,,,,,Pending,,
P024,30,24,Hardware Genetic Algorithms,Customizable FPGA IP Core Implementation of a General-Purpose Genetic Algorithm Engine,"Fernando, P.; Katkoori, S.",2010,"IEEE Transactions on Evolutionary Computation, 14(1), 133–149",GA IP core on Xilinx Virtex-II Pro; parameterizable population/generations/rates; multiple fitness functions supported; BRAM-based chromosome storage,13% LUT utilization; 50 MHz clock; configurable via register interface; verified on standard benchmarks,Single-objective only; old FPGA technology; no domain-specific operators; no Pareto dominance; 50 MHz limits throughput,Foundational FPGA-GA IP core paper. QFlow's PMO-GA generalizes this to multi-objective with quantum-domain fitness at 200 MHz.,,,,,,,,,,,,,Pending,,
P025,31,25,Hardware Genetic Algorithms,Automated Framework for General-Purpose Genetic Algorithms in FPGAs,"Guo, L.; Thomas, D.B.; Luk, W.",2014,"EvoApplications 2014, LNCS 8602, Springer",HLS-based automated GA framework; user provides problem specification; generates parameterized FPGA implementation; demonstrated on NP-hard set covering,30× speedup vs. multi-core CPU; flexible and reusable; demonstrated on 6 benchmark problems including locating and set covering,No multi-objective support; HLS abstraction limits cycle-accurate optimization; no domain-specific quantum operators,Automated FPGA-GA framework. QFlow hand-designs PMO-GA for maximum performance and quantum-domain specificity.,,,,,,,,,,,,,Pending,,
P026,32,26,Hardware Genetic Algorithms,RapidLayout: Fast Hard Block Placement Using NSGA-II on Xilinx UltraScale+ FPGAs,"Waidyasooriya, H.M. et al.",2022,ACM Transactions on Reconfigurable Technology and Systems (TRETS),NSGA-II multi-objective evolutionary algorithm for FPGA placement; dual objectives: wirelength² + bounding box; transfer learning between FPGA families,5–6× faster than Vivado with manual constraints; eliminates weeks of manual placement; Pareto-optimal placements at high frequency,"EDA application (placement), not communication routing; runs on CPU not on FPGA itself; different optimization domain",Modern multi-objective NSGA-II with Pareto dominance. QFlow applies similar Pareto mechanisms to quantum routing in hardware.,,,,,,,,,,,,,Pending,,
P027,33,27,Hardware Genetic Algorithms,"A High-Performance, Pipelined, FPGA-Based Genetic Algorithm Machine","Shackleford, B.; Snider, G.; Carter, R.",2001,"Genetic Programming and Evolvable Machines, Springer","Multi-FPGA pipelined GA; one child per clock cycle by pipelining selection, crossover, mutation, fitness; steady-state memory model",1 child/clock cycle throughput; solves 94×520 set covering problem; throughput limited only by fitness evaluation depth,Multi-FPGA system required; single-objective; old technology; no BRAM-based memory hierarchy,Seminal paper on pipelined FPGA-GA. QFlow's 5-stage PMO-GA pipeline is inspired by this one-child-per-cycle approach.,,,,,,,,,,,,,Pending,,
P028,34,28,Hardware Genetic Algorithms,Hardware Implementation of Genetic Algorithm on FPGA,"Peng, F.; Peng, P.",2004,IEEE Midwest Symposium on Circuits and Systems (MWSCAS),"Parallel-pipelined hardware GA (PPHGA) in VHDL; handshaking protocol between modules; verified on 3 applications (interpolation, thermistor, vehicle)",Autonomous parallel operation; correctness verified on engineering applications; modular VHDL design,Early implementation; limited parameterization; no multi-objective; resource usage not optimized,Historical FPGA-GA implementation. Demonstrates modular VHDL decomposition approach adopted by QFlow's module separation.,,,,,,,,,,,,,Pending,,
P029,36,29,Fidelity-Aware Routing,RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks,"Meuser, T. et al. (TU Darmstadt group)",2025,arXiv 2511.22321 / IEEE (accepted),RL-based entanglement routing using GNN with local information only; iterative message exchange between repeaters; trained on random graphs,Outperforms global-information heuristics; constant per-node load regardless of network size; scales to 1000 repeaters,Software RL agent; inference latency in ms; no hardware implementation; fidelity modeled but tracking not in hardware,"CITED IN QFLOW PLAN. State-of-the-art software routing. QFlow provides hardware equivalent — same fidelity awareness, 1000× faster decisions.",,,,,,,,,,,,,Pending,,
P030,37,30,Fidelity-Aware Routing,qRL: Reinforcement Learning Routing for Quantum Entanglement Networks,Multiple authors,2024,IEEE Conference on Quantum Computing (QCE),"Quantum-aware RL routing protocol; two-stage: (1) efficient route finding, (2) entanglement swapping and purification scheduling",Superior end-to-end route fidelity; significantly higher request success rates vs. traditional methods across multiple network sizes,Software agent; training required per topology; ms latency; entanglement-focused (not key-pool-focused for QKD),Fidelity-aware RL routing. QFlow tracks fidelity in dedicated FDPE hardware and routes without RL inference delays.,,,,,,,,,,,,,Pending,,
P031,38,31,Fidelity-Aware Routing,QoS-Aware Reinforcement Learning Routing for Entanglement Networks,"Abreu, D.",2025,Research Square preprint (under review),RL with fidelity-aware rewards; utility-based scheduling; models decoherence and quantum memory constraints; compares to DQRA and Proactive baselines,0.05–0.10 fidelity advantage over DQRA; 0.15–0.20 over Proactive; better queue management under bursty traffic,Preprint; software only; high classical coordination overhead; decoherence modeled but no hardware prediction,Latest QoS-fidelity routing. QFlow's FDPE performs continuous hardware decoherence prediction — what this paper does in software.,,,,,,,,,,,,,Pending,,
P032,39,32,Fidelity-Aware Routing,Entanglement Routing for Quantum Networks: A Deep Reinforcement Learning Approach,"Chakraborty, K. et al.",2022,IEEE Transactions on Quantum Engineering,DRL-based entanglement routing; state includes fidelity and memory capacity; reward based on fidelity and delivery rate,Significant improvements in routing fidelity and delivery rates vs. Dijkstra-based methods; demonstrated on 20-node networks,Software DRL; training required; fidelity-aware but not key-pool-aware; no hardware implementation,Early fidelity-aware DRL routing paper. Establishes that fidelity must be a first-class routing metric — core QFlow premise.,,,,,,,,,,,,,Pending,,
P033,40,33,Fidelity-Aware Routing,Robust Belief-State Policy Learning for Quantum Network Routing Under Decoherence,Anonymous authors,2025,arXiv 2509.08654,POMDP + GNN hybrid for quantum routing; belief-state compression for partial observability; noise-adaptive mechanism for decoherence,Fidelity 0.917 ± 0.034; 1.4× higher delivery under peak demand; scales to 300-node networks; 67% qubit utilization,Preprint; computationally expensive POMDP belief update; software only; seconds-scale training requirement,Most mathematically sophisticated software routing. QFlow achieves comparable fidelity-awareness in nanoseconds without belief inference.,,,,,,,,,,,,,Pending,,
P034,41,34,Fidelity-Aware Routing,Optimal Key Forwarding Strategy in QKD Behaviours,"Mehic, M. et al.",2024,"Scientific Reports, 14, Nature","LP formulation for key forwarding and redistribution at KMS level; three scenarios: all-to-all, one-to-all, one-to-one; maximization of key redistribution",Optimal redistribution computed via LP; performance depends heavily on network size and graph topology,LP solver (offline); no real-time key tracking; no fidelity model; KMS-level only; cannot react to decoherence events,Key forwarding optimization at KMS level. QFlow provides real-time hardware equivalent of their LP solution.,,,,,,,,,,,,,Pending,,
P035,43,35,TSN & Deterministic Networking,Time-Sensitive Networking (TSN) for Industrial Automation: Current Advances and Future Directions,"Peng, Z. et al.",2023,arXiv 2306.03691 (IEEE TNSM under review),"Comprehensive survey of TSN standards: IEEE 802.1Qbv (TAS), 802.1Qbu (preemption), 802.1AS (sync), 802.1CB (redundancy); applications and open challenges",802.1Qbv achieves bounded e2e latency with GCL; NP-hard scheduling problem; RL emerging for dynamic reconfiguration,Industrial automation context; no quantum application; scheduling NP-hard; GCL reconfiguration at centralized level,QFlow adopts 802.1Qbv for QP-TSN scheduler. This survey establishes the TSN mechanism QFlow adapts for quantum priority traffic.,,,,,,,,,,,,,Pending,,
P036,44,36,TSN & Deterministic Networking,Real-Time Scheduling for 802.1Qbv Time-Sensitive Networking: A Systematic Review and Experimental Study,"Li, X. et al.",2024,arXiv 2305.16772 (IEEE Transactions),"Systematic review of 17 TSN scheduling methods: FR, NW, SMT models; experimental comparison on hardware testbed; GCL configuration study",No-wait model minimizes latency; SMT-NW optimal for small networks; ML-based scheduling gaining traction; hardware GCL latency measured,Industrial focus; no quantum; GCL reconfiguration latency at ms scale in centralized models,Validates that GCL-based TSN achieves bounded latency. QFlow's QP-TSN implements microsecond hardware GCL swap vs their ms centralized approach.,,,,,,,,,,,,,Pending,,
P037,45,37,TSN & Deterministic Networking,Configuring the IEEE 802.1Qbv Time-Aware Shaper with Deep Reinforcement Learning,"Roberty, A. et al.",2023,ACM,DRL for online 802.1Qbv configuration in reconfigurable production networks; learns GCL configuration without prior flow knowledge,Handles open networks where flows change; avoids expensive ILP solver; reduces scheduling time in reconfigurable networks,DRL configuration still has ms inference latency; industrial focus; no quantum priority class,DRL-based TSN configuration. QFlow uses hardware FSM for deterministic GCL reconfiguration triggered by GA output.,,,,,,,,,,,,,Pending,,
P038,47,38,Network Processing Architecture,P4-Based Programmable Data Plane for In-Network Computing,"Bosshart, P. et al.",2014,"ACM SIGCOMM Computer Communication Review, 44(3)",P4 language for programmable packet processing; match-action pipeline in network hardware; enables in-network ML inference,Nanosecond-scale packet processing in ASIC/FPGA; enables routing decisions without CPU intervention; adopted by major switch vendors,Fixed match-action pipeline; limited compute; no BRAM-based graph state; cannot run iterative optimization,Demonstrates nanosecond data-plane routing decisions. QFlow extends this concept with a graph-state-aware routing engine specific to QKD.,,,,,,,,,,,,,Pending,,
P039,48,39,Network Processing Architecture,Reconfigurable Network Processing at Line Rate: Challenges and Approaches,"Sivaraman, A. et al.",2022,IEEE Micro,Survey of FPGA/ASIC network processor architectures for line-rate processing; pipeline depth analysis; resource-throughput trade-off,Line-rate processing requires deep pipelining; BRAM-based state enables nanosecond graph lookups; FPGA achieves 100+ Gbps routing,Classical networks focus; no quantum-specific considerations; no graph-based optimization,Architecture foundation for QFlow. Confirms FPGA pipeline + BRAM is the right approach for nanosecond network processing.,,,,,,,,,,,,,Pending,,
P040,50,40,FPGA Math & DSP,Piecewise-Linear Approximation of Mathematical Functions in FPGA: Survey and Design Methodology,"Dong, Y. et al.",2021,IEEE Transactions on VLSI Systems,"Survey and methodology for LUT-based piecewise-linear approximation of transcendental functions (exp, log, trig) in FPGA using fixed-point arithmetic",Error < 0.1% achievable with 256-entry LUT; Q0.16 fixed-point sufficient for most signal processing; DSP slices minimize resource usage,Accuracy/resource trade-off must be characterized per application; overflow handling required,"Direct methodology for QFlow's FDPE exponential decay LUT (256-entry, Q0.16, <0.1% error as specified in the architecture plan).",,,,,,,,,,,,,Pending,,
P041,51,41,FPGA Math & DSP,Hardware-Efficient Random Number Generation for FPGAs: Xorshift and LFSR Comparison,"Marsaglia, G. et al. (and follow-up hardware implementations)",2020,ACM Transactions on Reconfigurable Technology,Xorshift128+ PRNG implementation on FPGA; period 2^128-1; hardware-friendly XOR+shift operations; statistical quality vs LFSR comparison,Xorshift128+ passes all NIST statistical tests; 1 random number per clock at 200 MHz; 3× better statistical quality than LFSR of same size,Cryptographically not secure; period finite; multiple instances need different seeds,Directly used in QFlow PMO-GA random path generation. Justifies Xorshift128+ choice over LFSR as stated in the plan.,,,,,,,,,,,,,Pending,,
P042,53,42,Quantum Network Simulation,A Survey of Quantum Key Distribution (QKD) Network Simulation Platforms,Multiple authors,2021,IEEE International Conference on High Performance Switching and Routing (HPSR),"Survey of simulation tools for QKD networks: NS-3 QKD module, OMNeT++ QKD, SimQN, NetSquid; comparison of capabilities",OMNeT++ most flexible for protocol development; NS-3 integrates with classical network simulation; SimQN fastest for large-scale,Survey only; no performance comparison; simulation fidelity varies across platforms,Justifies OMNeT++ choice for Phase 4 simulation in QFlow plan. Survey confirms OMNeT++ is standard for QKD network research.,,,,,,,,,,,,,Pending,,
P043,54,43,Quantum Network Simulation,NetSquid: A Network Simulator for Quantum Information using Discrete Events,"Coopmans, T. et al.",2021,"Communications Physics, 4(1), Nature","Discrete-event quantum network simulator; models entanglement generation, decoherence, quantum memory, measurement; Python-based",Sub-second simulation of 25-node networks; validated against analytical models; models T1/T2 decoherence times,Entanglement-focused (not QKD key distribution specifically); Python overhead limits large-scale simulations,Decoherence model (T1/T2 times) directly informs QFlow's FDPE exponential decay model. Key parameter T2 for coherence time.,,,,,,,,,,,,,Pending,,
P044,56,44,QKD Physical Layer & KMS,"Information Reconciliation of CV-QKD: Principles, Implementations and Applications","Sun, S. et al.",2023,"EPJ Quantum Technology, 10(1), 40, Springer","Survey of reconciliation schemes: slice, multidimensional, LDPC/polar codes; hardware acceleration on FPGA and GPU; rate-compatible codes",FPGA achieves 10–100× speedup over CPU for IR; LDPC codes dominate; hardware rate-compatible codes enable adaptive systems,Physical layer only; no routing; no key management after IR; no network-layer awareness,Establishes FPGA for QKD physical layer. QFlow is positioned as the natural next layer above IR in FPGA-accelerated QKD stack.,,,,,,,,,,,,,Pending,,
P045,57,45,QKD Physical Layer & KMS,Quantum Key Distribution: A Networking Perspective,"Mehic, M. et al.",2020,"ACM Computing Surveys (CSUR), 53(5), 1–41","Survey of QKD networking: protocols, key management systems, routing, SDN integration, security analysis; 10+ year literature review",Key management identified as central networking challenge; routing bottleneck at SDN controller; fidelity/QBER as key routing metrics,2020 survey; misses 2023–2025 advances; no hardware dataplane routing considered; SDN assumed as routing paradigm,Foundational networking survey for QKD. Explicitly identifies the software routing bottleneck that QFlow addresses.,,,,,,,,,,,,,Pending,,
