search_id,search_date,database_or_publisher,exact_query,filters,results_returned,records_screened,included_audit_ids,excluded_count,exclusion_codes,notes
S028,2026-07-17,IEEE / City University of Hong Kong,"""Hardware Implementation of Genetic Algorithms Using FPGA""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P028,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S029,2026-07-17,IEEE Xplore / arXiv,"""RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P029,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S030,2026-07-17,IEEE Xplore,"""qRL: Reinforcement Learning Routing for Quantum Entanglement Networks""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P030,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S031,2026-07-17,Research Square,"""QoS-Aware Reinforcement Learning Routing for Entanglement Networks""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P031,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S032,2026-07-17,IEEE Xplore,"""Entanglement Routing for Quantum Networks: A Deep Reinforcement Learning Approach""","Primary/official source; identity, platform, metrics-scope and latency-scope verification",,1,P032,0,,"Batch 2 FPGA-component, hardware-GA and fidelity-routing audit"
S033,2026-07-17,arXiv,"""Robust Belief-State Policy Learning for Quantum Network Routing Under Decoherence and Time-Varying Conditions""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P033,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S034,2026-07-17,Nature / Scientific Reports,"""Optimal key forwarding strategy in QKD behaviours""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P034,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S035,2026-07-17,ACM Digital Library / arXiv,"""Time-Sensitive Networking (TSN) for Industrial Automation: Current Advances and Future Directions""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P035,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S036,2026-07-17,IEEE Xplore / arXiv,"""Real-Time Scheduling for 802.1Qbv Time-Sensitive Networking (TSN): A Systematic Review and Experimental Study""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P036,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S037,2026-07-17,HAL,"""Configuring the IEEE 802.1Qbv Time-aware shaper with deep reinforcement learning""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P037,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S038,2026-07-17,ACM Digital Library,"""P4: Programming Protocol-Independent Packet Processors""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P038,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S039,2026-07-17,ACM Digital Library,"""Packet Transactions: High-Level Programming for Line-Rate Switches""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P039,0,,Explicit replacement source; original workbook identity not verified
S040,2026-07-17,IEEE Xplore exact-title search,"""Piecewise-Linear Approximation of Mathematical Functions in FPGA: Survey and Design Methodology""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",0,0,P040,1,IDENTITY_NOT_VERIFIED,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S041,2026-07-17,ACM Digital Library exact-title search,"""Hardware-Efficient Random Number Generation for FPGAs: Xorshift and LFSR Comparison""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",0,0,P041,1,IDENTITY_NOT_VERIFIED,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S042,2026-07-17,IEEE Xplore,"""A Survey of Quantum Key Distribution (QKD) Network Simulation Platforms""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P042,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S043,2026-07-17,Nature / Communications Physics,"""NetSquid, a NETwork Simulator for QUantum Information using Discrete events""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P043,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S044,2026-07-17,Springer Nature / EPJ Quantum Technology,"""Information reconciliation of continuous-variables quantum key distribution: principles, implementations and applications""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P044,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S045,2026-07-17,ACM Digital Library,"""Quantum Key Distribution: A Networking Perspective""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P045,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S046,2026-07-17,IEEE Xplore,"""A Fast and Elitist Multiobjective Genetic Algorithm: NSGA-II""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P046,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S047,2026-07-17,IEEE Xplore,"""MOEA/D: A Multiobjective Evolutionary Algorithm Based on Decomposition""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P047,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S048,2026-07-17,Elsevier ScienceDirect,"""Objectives and methods in multi-objective routing problems: a survey and classification scheme""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P048,0,,Explicit replacement source; original workbook identity not verified
S049,2026-07-17,Google Books bibliographic record,"""Computers and Intractability: A Guide to the Theory of NP-Completeness""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P049,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
S050,2026-07-17,INFORMS,"""Approximation Schemes for the Restricted Shortest Path Problem""","Primary/official source; identity, evidence scope, platform and latency-boundary verification",,1,P050,0,,"Batch 3 final audit: fidelity routing, TSN/data plane, simulation, algorithms and theory"
