case_id,category,rst,en,state_id,expected_valid,expected_proposed_action,notes
146,all_256_states,0,1,145,1,1,exact frozen state-major policy lookup
147,all_256_states,0,1,146,1,2,exact frozen state-major policy lookup
148,all_256_states,0,1,147,1,0,exact frozen state-major policy lookup
149,all_256_states,0,1,148,1,2,exact frozen state-major policy lookup
150,all_256_states,0,1,149,1,1,exact frozen state-major policy lookup
151,all_256_states,0,1,150,1,2,exact frozen state-major policy lookup
152,all_256_states,0,1,151,1,2,exact frozen state-major policy lookup
153,all_256_states,0,1,152,1,1,exact frozen state-major policy lookup
154,all_256_states,0,1,153,1,1,exact frozen state-major policy lookup
155,all_256_states,0,1,154,1,3,exact frozen state-major policy lookup
156,all_256_states,0,1,155,1,2,exact frozen state-major policy lookup
157,all_256_states,0,1,156,1,2,exact frozen state-major policy lookup
158,all_256_states,0,1,157,1,1,exact frozen state-major policy lookup
159,all_256_states,0,1,158,1,1,exact frozen state-major policy lookup
160,all_256_states,0,1,159,1,2,exact frozen state-major policy lookup
161,all_256_states,0,1,160,1,1,exact frozen state-major policy lookup
162,all_256_states,0,1,161,1,1,exact frozen state-major policy lookup
163,all_256_states,0,1,162,1,3,exact frozen state-major policy lookup
164,all_256_states,0,1,163,1,0,exact frozen state-major policy lookup
165,all_256_states,0,1,164,1,2,exact frozen state-major policy lookup
166,all_256_states,0,1,165,1,0,exact frozen state-major policy lookup
167,all_256_states,0,1,166,1,3,exact frozen state-major policy lookup
168,all_256_states,0,1,167,1,0,exact frozen state-major policy lookup
169,all_256_states,0,1,168,1,0,exact frozen state-major policy lookup
170,all_256_states,0,1,169,1,3,exact frozen state-major policy lookup
171,all_256_states,0,1,170,1,0,exact frozen state-major policy lookup
172,all_256_states,0,1,171,1,0,exact frozen state-major policy lookup
173,all_256_states,0,1,172,1,1,exact frozen state-major policy lookup
174,all_256_states,0,1,173,1,1,exact frozen state-major policy lookup
175,all_256_states,0,1,174,1,0,exact frozen state-major policy lookup
176,all_256_states,0,1,175,1,1,exact frozen state-major policy lookup
177,all_256_states,0,1,176,1,1,exact frozen state-major policy lookup
178,all_256_states,0,1,177,1,0,exact frozen state-major policy lookup
179,all_256_states,0,1,178,1,2,exact frozen state-major policy lookup
180,all_256_states,0,1,179,1,0,exact frozen state-major policy lookup
181,all_256_states,0,1,180,1,1,exact frozen state-major policy lookup
182,all_256_states,0,1,181,1,0,exact frozen state-major policy lookup
183,all_256_states,0,1,182,1,1,exact frozen state-major policy lookup
184,all_256_states,0,1,183,1,0,exact frozen state-major policy lookup
185,all_256_states,0,1,184,1,3,exact frozen state-major policy lookup
186,all_256_states,0,1,185,1,2,exact frozen state-major policy lookup
187,all_256_states,0,1,186,1,2,exact frozen state-major policy lookup
188,all_256_states,0,1,187,1,2,exact frozen state-major policy lookup
189,all_256_states,0,1,188,1,3,exact frozen state-major policy lookup
190,all_256_states,0,1,189,1,3,exact frozen state-major policy lookup
191,all_256_states,0,1,190,1,1,exact frozen state-major policy lookup
192,all_256_states,0,1,191,1,2,exact frozen state-major policy lookup
193,all_256_states,0,1,192,1,0,exact frozen state-major policy lookup
194,all_256_states,0,1,193,1,0,exact frozen state-major policy lookup
195,all_256_states,0,1,194,1,0,exact frozen state-major policy lookup
196,all_256_states,0,1,195,1,0,exact frozen state-major policy lookup
197,all_256_states,0,1,196,1,0,exact frozen state-major policy lookup
198,all_256_states,0,1,197,1,0,exact frozen state-major policy lookup
199,all_256_states,0,1,198,1,0,exact frozen state-major policy lookup
200,all_256_states,0,1,199,1,0,exact frozen state-major policy lookup
201,all_256_states,0,1,200,1,0,exact frozen state-major policy lookup
202,all_256_states,0,1,201,1,0,exact frozen state-major policy lookup
203,all_256_states,0,1,202,1,0,exact frozen state-major policy lookup
204,all_256_states,0,1,203,1,0,exact frozen state-major policy lookup
205,all_256_states,0,1,204,1,0,exact frozen state-major policy lookup
206,all_256_states,0,1,205,1,0,exact frozen state-major policy lookup
207,all_256_states,0,1,206,1,0,exact frozen state-major policy lookup
208,all_256_states,0,1,207,1,0,exact frozen state-major policy lookup
209,all_256_states,0,1,208,1,1,exact frozen state-major policy lookup
210,all_256_states,0,1,209,1,1,exact frozen state-major policy lookup
211,all_256_states,0,1,210,1,1,exact frozen state-major policy lookup
212,all_256_states,0,1,211,1,1,exact frozen state-major policy lookup
213,all_256_states,0,1,212,1,1,exact frozen state-major policy lookup
214,all_256_states,0,1,213,1,3,exact frozen state-major policy lookup
215,all_256_states,0,1,214,1,2,exact frozen state-major policy lookup
216,all_256_states,0,1,215,1,1,exact frozen state-major policy lookup
217,all_256_states,0,1,216,1,1,exact frozen state-major policy lookup
218,all_256_states,0,1,217,1,3,exact frozen state-major policy lookup
219,all_256_states,0,1,218,1,3,exact frozen state-major policy lookup
220,all_256_states,0,1,219,1,1,exact frozen state-major policy lookup
221,all_256_states,0,1,220,1,1,exact frozen state-major policy lookup
222,all_256_states,0,1,221,1,3,exact frozen state-major policy lookup
223,all_256_states,0,1,222,1,1,exact frozen state-major policy lookup
224,all_256_states,0,1,223,1,3,exact frozen state-major policy lookup
225,all_256_states,0,1,224,1,3,exact frozen state-major policy lookup
226,all_256_states,0,1,225,1,3,exact frozen state-major policy lookup
227,all_256_states,0,1,226,1,3,exact frozen state-major policy lookup
228,all_256_states,0,1,227,1,1,exact frozen state-major policy lookup
229,all_256_states,0,1,228,1,0,exact frozen state-major policy lookup
230,all_256_states,0,1,229,1,0,exact frozen state-major policy lookup
231,all_256_states,0,1,230,1,2,exact frozen state-major policy lookup
232,all_256_states,0,1,231,1,1,exact frozen state-major policy lookup
233,all_256_states,0,1,232,1,0,exact frozen state-major policy lookup
234,all_256_states,0,1,233,1,0,exact frozen state-major policy lookup
235,all_256_states,0,1,234,1,2,exact frozen state-major policy lookup
236,all_256_states,0,1,235,1,3,exact frozen state-major policy lookup
237,all_256_states,0,1,236,1,1,exact frozen state-major policy lookup
238,all_256_states,0,1,237,1,0,exact frozen state-major policy lookup
239,all_256_states,0,1,238,1,1,exact frozen state-major policy lookup
240,all_256_states,0,1,239,1,1,exact frozen state-major policy lookup
241,all_256_states,0,1,240,1,3,exact frozen state-major policy lookup
242,all_256_states,0,1,241,1,1,exact frozen state-major policy lookup
243,all_256_states,0,1,242,1,0,exact frozen state-major policy lookup
244,all_256_states,0,1,243,1,1,exact frozen state-major policy lookup
245,all_256_states,0,1,244,1,0,exact frozen state-major policy lookup
246,all_256_states,0,1,245,1,1,exact frozen state-major policy lookup
247,all_256_states,0,1,246,1,2,exact frozen state-major policy lookup
248,all_256_states,0,1,247,1,2,exact frozen state-major policy lookup
249,all_256_states,0,1,248,1,0,exact frozen state-major policy lookup
250,all_256_states,0,1,249,1,2,exact frozen state-major policy lookup
251,all_256_states,0,1,250,1,1,exact frozen state-major policy lookup
252,all_256_states,0,1,251,1,0,exact frozen state-major policy lookup
253,all_256_states,0,1,252,1,0,exact frozen state-major policy lookup
254,all_256_states,0,1,253,1,3,exact frozen state-major policy lookup
255,all_256_states,0,1,254,1,1,exact frozen state-major policy lookup
256,all_256_states,0,1,255,1,3,exact frozen state-major policy lookup
257,enable_hold,0,0,0,0,3,valid clears and proposed action holds
258,reset,1,1,255,0,0,midstream reset clears the prior action
259,post_reset_read,0,1,0,1,0,first enabled read after reset
